GA,GS
GA1.1.1318980546.1734180344,GS1.1.1734180344.1
GA1.1.541331381.1734180353,GS1.1.1734180352.1
GA1.1.225438254.1734180363,GS1.1.1734180362.1
GA1.1.962964952.1734180372,GS1.1.1734180371.1
GA1.1.728492228.1734180380,GS1.1.1734180380.1
GA1.1.1954761421.1734180670,GS1.1.1734180670.1
GA1.1.1043210587.1734180678,GS1.1.1734180677.1
GA1.1.1539047839.1734180690,GS1.1.1734180689.1
GA1.1.1349668657.1734180699,GS1.1.1734180699.1
GA1.1.210122473.1734180708,GS1.1.1734180708.1
GA1.1.493517964.1734180717,GS1.1.1734180717.1
GA1.1.1547225702.1734180727,GS1.1.1734180726.1
GA1.1.1542394537.1734180735,GS1.1.1734180735.1
GA1.1.781569941.1734180744,GS1.1.1734180743.1
GA1.1.601618663.1734180753,GS1.1.1734180753.1
GA1.1.683100780.1734180762,GS1.1.1734180762.1
GA1.1.172042501.1734180771,GS1.1.1734180770.1
GA1.1.1398892601.1734180780,GS1.1.1734180780.1
GA1.1.1471055988.1734180788,GS1.1.1734180788.1
GA1.1.2100821560.1734180797,GS1.1.1734180797.1
GA1.1.1221331842.1734180806,GS1.1.1734180805.1
GA1.1.563802839.1734180815,GS1.1.1734180814.1
GA1.1.1853294456.1734180823,GS1.1.1734180823.1
GA1.1.1115558145.1734180832,GS1.1.1734180832.1
GA1.1.2080062159.1734180841,GS1.1.1734180840.1
GA1.1.1789763744.1734180851,GS1.1.1734180851.1
GA1.1.1993507505.1734180859,GS1.1.1734180859.1
GA1.1.487649119.1734180868,GS1.1.1734180868.1
GA1.1.2014468924.1734180877,GS1.1.1734180877.1
GA1.1.1978333369.1734180886,GS1.1.1734180885.1
GA1.1.1023900753.1734180894,GS1.1.1734180894.1
GA1.1.113967649.1734180903,GS1.1.1734180902.1
GA1.1.1869120592.1734180912,GS1.1.1734180912.1
GA1.1.958521632.1734180920,GS1.1.1734180920.1
GA1.1.1701943818.1734180929,GS1.1.1734180928.1
GA1.1.1566563613.1734180938,GS1.1.1734180937.1
GA1.1.1986618540.1734180947,GS1.1.1734180946.1
GA1.1.1408471174.1734180956,GS1.1.1734180955.1
GA1.1.948381315.1734180965,GS1.1.1734180964.1
GA1.1.542039456.1734180974,GS1.1.1734180974.1
GA1.1.1043155832.1734180982,GS1.1.1734180982.1
GA1.1.1745841893.1734180992,GS1.1.1734180991.1
GA1.1.230280729.1734181000,GS1.1.1734181000.1
GA1.1.1532951380.1734181009,GS1.1.1734181008.1
GA1.1.1017660389.1734181018,GS1.1.1734181017.1
GA1.1.614549887.1734181026,GS1.1.1734181026.1
GA1.1.145658398.1734181035,GS1.1.1734181034.1
GA1.1.26374023.1734181043,GS1.1.1734181043.1
GA1.1.1431016641.1734181052,GS1.1.1734181052.1
GA1.1.751831852.1734181062,GS1.1.1734181061.1
GA1.1.614803248.1734181070,GS1.1.1734181070.1
GA1.1.641013492.1734181080,GS1.1.1734181080.1
GA1.1.104979306.1734181088,GS1.1.1734181088.1
GA1.1.1676561162.1734181098,GS1.1.1734181098.1
GA1.1.1804071939.1734181106,GS1.1.1734181106.1
GA1.1.1071095198.1734181115,GS1.1.1734181114.1
GA1.1.1717866485.1734181124,GS1.1.1734181123.1
GA1.1.1202886040.1734181132,GS1.1.1734181132.1
GA1.1.1090017950.1734181142,GS1.1.1734181141.1
GA1.1.1536578954.1734181150,GS1.1.1734181150.1
GA1.1.1517563243.1734181160,GS1.1.1734181160.1
GA1.1.1219543507.1734181169,GS1.1.1734181169.1
GA1.1.1116460048.1734181178,GS1.1.1734181177.1
GA1.1.657664478.1734181187,GS1.1.1734181186.1
GA1.1.199286837.1734181196,GS1.1.1734181195.1
GA1.1.1293239665.1734181204,GS1.1.1734181204.1
GA1.1.1196510526.1734181214,GS1.1.1734181213.1
GA1.1.799315306.1734181223,GS1.1.1734181222.1
GA1.1.2102515931.1734181232,GS1.1.1734181231.1
GA1.1.912478564.1734181242,GS1.1.1734181241.1
GA1.1.610836145.1734181251,GS1.1.1734181251.1
GA1.1.1568450483.1734181260,GS1.1.1734181259.1
GA1.1.644643020.1734181268,GS1.1.1734181268.1
GA1.1.2044140219.1734181277,GS1.1.1734181277.1
GA1.1.817257971.1734181286,GS1.1.1734181286.1
GA1.1.556366480.1734181296,GS1.1.1734181295.1
GA1.1.1957877423.1734181305,GS1.1.1734181304.1
GA1.1.594543638.1734181313,GS1.1.1734181313.1
GA1.1.646524644.1734181322,GS1.1.1734181321.1
GA1.1.1021440920.1734181330,GS1.1.1734181330.1
GA1.1.1002434142.1734181339,GS1.1.1734181339.1
GA1.1.1310806227.1734181348,GS1.1.1734181348.1
GA1.1.956194976.1734181358,GS1.1.1734181357.1
GA1.1.1232537359.1734181367,GS1.1.1734181367.1
GA1.1.1144232024.1734181376,GS1.1.1734181376.1
GA1.1.2005914817.1734181385,GS1.1.1734181385.1
GA1.1.1848632141.1734181394,GS1.1.1734181393.1
GA1.1.387413839.1734181404,GS1.1.1734181403.1
GA1.1.719444628.1734181413,GS1.1.1734181412.1
GA1.1.257747832.1734181422,GS1.1.1734181421.1
GA1.1.2021834096.1734181431,GS1.1.1734181430.1
GA1.1.701574557.1734181447,GS1.1.1734181446.1
GA1.1.507501903.1734181455,GS1.1.1734181455.1
GA1.1.820651421.1734181465,GS1.1.1734181464.1
GA1.1.827006123.1734181474,GS1.1.1734181473.1
GA1.1.1344194102.1734181482,GS1.1.1734181482.1
GA1.1.1999121992.1734181492,GS1.1.1734181491.1
GA1.1.148170691.1734181500,GS1.1.1734181500.1
GA1.1.1753287793.1734181509,GS1.1.1734181508.1
GA1.1.245020521.1734181519,GS1.1.1734181518.1
GA1.1.1451485322.1734181527,GS1.1.1734181527.1
GA1.1.1388744206.1734181536,GS1.1.1734181536.1
GA1.1.1592000011.1734181545,GS1.1.1734181545.1
GA1.1.1693163777.1734181555,GS1.1.1734181554.1
GA1.1.361357093.1734181564,GS1.1.1734181563.1
GA1.1.979985648.1734181656,GS1.1.1734181655.1
GA1.1.1759496961.1734181663,GS1.1.1734181662.1
GA1.1.756020016.1734181672,GS1.1.1734181672.1
GA1.1.1038117538.1734181682,GS1.1.1734181681.1
GA1.1.707535002.1734181691,GS1.1.1734181690.1
GA1.1.1188080508.1734181700,GS1.1.1734181699.1
GA1.1.1001645033.1734181709,GS1.1.1734181708.1
GA1.1.1010745933.1734181718,GS1.1.1734181718.1
GA1.1.1820308419.1734181728,GS1.1.1734181727.1
GA1.1.2131033395.1734181738,GS1.1.1734181737.1
GA1.1.935147947.1734181747,GS1.1.1734181746.1
GA1.1.1156288852.1734181756,GS1.1.1734181756.1
GA1.1.183025609.1734181766,GS1.1.1734181765.1
GA1.1.322187977.1734181775,GS1.1.1734181774.1
GA1.1.323662093.1734181783,GS1.1.1734181783.1
GA1.1.306571521.1734181793,GS1.1.1734181792.1
GA1.1.1439269589.1734181801,GS1.1.1734181801.1
GA1.1.1996590556.1734181811,GS1.1.1734181810.1
GA1.1.1746965411.1734181820,GS1.1.1734181820.1
GA1.1.1640944422.1734181830,GS1.1.1734181830.1
GA1.1.949741856.1734181839,GS1.1.1734181838.1
GA1.1.1003879893.1734181847,GS1.1.1734181847.1
GA1.1.716843564.1734181856,GS1.1.1734181856.1
GA1.1.752389896.1734181865,GS1.1.1734181865.1
GA1.1.1940419986.1734181874,GS1.1.1734181873.1
GA1.1.690547112.1734181883,GS1.1.1734181883.1
GA1.1.1437461730.1734181893,GS1.1.1734181892.1
GA1.1.1345732457.1734181902,GS1.1.1734181902.1
GA1.1.2072696067.1734181912,GS1.1.1734181911.1
GA1.1.1188619057.1734181921,GS1.1.1734181920.1
GA1.1.891744652.1734181929,GS1.1.1734181929.1
GA1.1.2026644146.1734181938,GS1.1.1734181937.1
GA1.1.358336210.1734181947,GS1.1.1734181947.1
GA1.1.932159221.1734181956,GS1.1.1734181955.1
GA1.1.1375996092.1734181965,GS1.1.1734181965.1
GA1.1.634975708.1734181974,GS1.1.1734181974.1
GA1.1.433316445.1734181983,GS1.1.1734181982.1
GA1.1.68106932.1734181992,GS1.1.1734181992.1
GA1.1.172051503.1734182001,GS1.1.1734182000.1
GA1.1.985830004.1734182010,GS1.1.1734182009.1
GA1.1.1322107815.1734182018,GS1.1.1734182018.1
GA1.1.5973895.1734182028,GS1.1.1734182027.1
GA1.1.844711928.1734182037,GS1.1.1734182036.1
GA1.1.882740530.1734182045,GS1.1.1734182045.1
GA1.1.866153233.1734182055,GS1.1.1734182054.1
GA1.1.686467335.1734182071,GS1.1.1734182071.1
GA1.1.1971472458.1734182080,GS1.1.1734182079.1
GA1.1.917448386.1734182089,GS1.1.1734182088.1
GA1.1.2140112977.1734182098,GS1.1.1734182097.1
GA1.1.1906382229.1734182107,GS1.1.1734182106.1
GA1.1.1736271300.1734182118,GS1.1.1734182118.1
GA1.1.1749326154.1734182127,GS1.1.1734182126.1
GA1.1.923430045.1734182136,GS1.1.1734182135.1
